,,2026-05-27 14:42:05,,,,,,,,,,,,,,,,,,,,,,,
STT,Mã Tour,Tên Tour,Ngày khởi hành,Ngày đóng chỗ,Tổng,Giữ chỗ,Đã bán,Còn lại,Giá,Giá chưa sale,Hoa hồng,Ghi chú,Link,,,,,,,,,,,,
7,FIT_004580,JAPAN - FULL TRẢI NGHIỆM VÀNG - OSAKA - KYOTO - PHÚ SĨ - NAGOYA - TOKYO 6N5Ð HCM - NHẬT BẢN,10/06/2026,10/06/2026,30,14,8,8,"32,400,000",,"3,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 23.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/27573q8r,,,,,,,,,,,,
8,FIT_004581,JAPAN - FULL TRẢI NGHIỆM VÀNG - OSAKA - KYOTO - PHÚ SĨ - NAGOYA - TOKYO 6N5Ð - NHẬT BẢN,17/06/2026,17/06/2026,30,0,15,15,"32,400,000",,"3,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 23.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/23rq34z2,,,,,,,,,,,,
10,FIT_004582,JAPAN - HCM - OSAKA - KYOTO - HAMMATSU - PHÚ SĨ - TOKYO 6N5Đ NGÀY,19/06/2026,19/06/2026,30,4,12,14,"30,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 22.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/25cwmdxv,,,,,,,,,,,,
12,FIT_004583,JAPAN - FULL TRẢI NGHIỆM VÀNG - OSAKA - KYOTO - PHÚ SĨ - NAGOYA - TOKYO 6N5Ð - NHẬT BẢN,24/06/2026,24/06/2026,30,0,21,9,"32,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 23.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/24m7gjc3,,,,,,,,,,,,
15,FIT_004584,JAPAN - FULL TRẢI NGHIỆM VÀNG - MÙA HOA LAVENDER 6N5Ð HCM - NHẬT BẢN,01/07/2026,01/07/2026,30,5,2,23,"32,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 23.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/26ducr2p,,,,,,,,,,,,
16,FIT_004585,JAPAN - HCM - OSAKA - KYOTO - HAMMATSU - PHÚ SĨ - TOKYO 6N5Đ NGÀY,03/07/2026,03/07/2026,30,7,9,14,"31,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 23.490.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/2dnbot78,,,,,,,,,,,,
19,FITTT_005546,JAPAN - FULL TRẢI NGHIỆM VÀNG - MÙA HOA LAVENDER 6N5Ð HCM - NHẬT BẢN,10/07/2026,10/07/2026,30,0,0,30,"33,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 24.590.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX",https://tinyurl.com/2ynemofg,,,,,,,,,,,,
21,FIT_005160,HOKKAIDO – ASAHIKAWA – BIEI SAPPORO – OTARU – NOBORIBETSU – TOYA 6N6Ð - HCM - NHẬT BẢN,14/07/2026,14/07/2026,20,10,2,8,"53,400,000",,"2,000,000","KHÁCH GHÉP LAND CHECK DV VỚI ĐIỀU HÀNH
GIÁ GHÉP LAND (KHÔNG BAO GỒM VISA): 36.090.000/PAX
KHÁCH LÀM VISA CỘNG THÊM 1.000.000Đ/PAX0",https://tinyurl.com/2ch3wj3t,,,,,,,,,,,,
